                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.90794,                0.59279,                 1.1033,                0.66905,                0.58161,                 0.6201,                0.44245,                 1.0776,                0.76743,                 1.1692,               0.004984,               0.004984,               0.004984
                    155,                0.90326,                0.59292,                 1.1006,                0.67046,                0.58063,                0.61993,                0.44251,                 1.0779,                0.76755,                 1.1693,               0.004951,               0.004951,               0.004951
                    156,                0.89825,                0.60024,                 1.0987,                0.67166,                0.57816,                0.61919,                0.44235,                 1.0784,                0.76738,                 1.1696,               0.004918,               0.004918,               0.004918
                    157,                 0.9012,                0.58824,                 1.0985,                0.67131,                 0.5771,                0.61898,                0.44226,                 1.0788,                0.76792,                 1.1699,               0.004885,               0.004885,               0.004885
                    158,                0.89684,                0.58444,                 1.0973,                0.67266,                  0.576,                0.61907,                0.44212,                 1.0794,                0.76767,                 1.1702,               0.004852,               0.004852,               0.004852
                    159,                0.89818,                0.58677,                  1.097,                0.67388,                0.57555,                0.61895,                0.44176,                 1.0798,                  0.768,                 1.1706,               0.004819,               0.004819,               0.004819
                    160,                0.88273,                 0.5793,                 1.0938,                0.67509,                0.57412,                 0.6188,                0.44168,                 1.0805,                0.76813,                 1.1709,               0.004786,               0.004786,               0.004786
                    161,                0.90369,                0.57824,                 1.0965,                 0.6769,                0.57372,                0.61901,                0.44192,                 1.0811,                0.76805,                 1.1715,               0.004753,               0.004753,               0.004753
                    162,                0.88674,                0.57808,                 1.0955,                0.67774,                0.57297,                0.61896,                 0.4416,                 1.0816,                0.76793,                 1.1718,                0.00472,                0.00472,                0.00472
                    163,                 0.9031,                 0.5828,                 1.0986,                0.67593,                0.57225,                0.61868,                0.44188,                 1.0817,                0.76809,                 1.1719,               0.004687,               0.004687,               0.004687
                    164,                0.89316,                0.57895,                 1.0942,                0.67596,                0.57204,                0.61822,                0.44168,                 1.0821,                0.76769,                 1.1723,               0.004654,               0.004654,               0.004654
                    165,                0.88825,                0.57345,                 1.0916,                0.67189,                0.57514,                0.61852,                0.44156,                 1.0828,                 0.7677,                 1.1729,               0.004621,               0.004621,               0.004621
                    166,                0.88716,                0.57411,                 1.0921,                0.67339,                0.58081,                0.62006,                0.44183,                 1.0831,                0.76745,                 1.1732,               0.004588,               0.004588,               0.004588
                    167,                0.89364,                0.57535,                  1.094,                0.67156,                0.59008,                0.62038,                0.44187,                 1.0831,                0.76815,                 1.1734,               0.004555,               0.004555,               0.004555
                    168,                0.89005,                0.57224,                 1.0923,                0.67037,                0.59017,                0.62048,                0.44179,                  1.083,                0.76856,                 1.1736,               0.004522,               0.004522,               0.004522
                    169,                 0.8803,                0.57121,                 1.0948,                 0.6721,                0.58757,                 0.6206,                0.44179,                 1.0832,                0.76849,                 1.1737,               0.004489,               0.004489,               0.004489
                    170,                0.88143,                0.57454,                 1.0927,                0.67335,                0.58786,                0.62084,                0.44179,                 1.0834,                0.76853,                 1.1739,               0.004456,               0.004456,               0.004456
                    171,                0.88644,                0.56841,                 1.0917,                0.67572,                0.58477,                0.62072,                0.44178,                  1.084,                0.76866,                 1.1744,               0.004423,               0.004423,               0.004423
                    172,                0.87883,                0.56494,                  1.089,                0.67631,                0.58526,                0.62074,                0.44156,                 1.0844,                0.76864,                 1.1747,                0.00439,                0.00439,                0.00439
                    173,                0.87972,                0.56158,                  1.087,                0.67946,                0.58372,                0.62054,                0.44188,                 1.0843,                0.76871,                 1.1746,               0.004357,               0.004357,               0.004357
                    174,                0.87512,                0.56204,                 1.0891,                0.68273,                0.58051,                0.62039,                0.44184,                 1.0844,                0.76821,                 1.1749,               0.004324,               0.004324,               0.004324
                    175,                0.86978,                0.56448,                 1.0844,                0.68928,                0.57547,                0.62109,                0.44184,                 1.0844,                0.76808,                 1.1751,               0.004291,               0.004291,               0.004291
                    176,                0.87239,                0.55866,                 1.0854,                0.68991,                 0.5749,                0.62087,                0.44165,                 1.0844,                0.76819,                 1.1752,               0.004258,               0.004258,               0.004258
                    177,                0.86901,                0.55996,                 1.0845,                0.68537,                 0.5778,                 0.6203,                0.44139,                 1.0847,                0.76848,                 1.1755,               0.004225,               0.004225,               0.004225
                    178,                0.87462,                0.55977,                 1.0877,                0.68161,                0.58255,                0.61992,                0.44131,                 1.0852,                0.76872,                 1.1758,               0.004192,               0.004192,               0.004192
                    179,                0.87252,                0.55975,                 1.0871,                0.68466,                 0.5786,                0.61996,                0.44114,                 1.0853,                0.76877,                  1.176,               0.004159,               0.004159,               0.004159
                    180,                0.88339,                0.56134,                 1.0855,                 0.6855,                0.57873,                0.61968,                0.44039,                 1.0856,                0.76915,                 1.1763,               0.004126,               0.004126,               0.004126
                    181,                 0.8716,                0.55916,                 1.0856,                 0.6867,                0.57848,                0.61892,                0.44038,                 1.0856,                0.76944,                 1.1766,               0.004093,               0.004093,               0.004093
                    182,                0.87977,                0.56297,                  1.085,                0.68729,                0.57808,                0.61922,                0.44063,                  1.086,                0.76994,                 1.1768,                0.00406,                0.00406,                0.00406
                    183,                0.86503,                0.55538,                 1.0828,                0.68706,                0.57898,                0.61882,                0.43985,                 1.0867,                0.77011,                 1.1772,               0.004027,               0.004027,               0.004027
                    184,                0.86241,                 0.5511,                 1.0797,                0.68748,                0.57816,                0.61829,                 0.4396,                 1.0871,                0.77013,                 1.1776,               0.003994,               0.003994,               0.003994
                    185,                0.85995,                0.54552,                 1.0796,                0.68711,                0.57973,                0.61838,                0.43952,                 1.0873,                0.77072,                 1.1779,               0.003961,               0.003961,               0.003961
                    186,                  0.862,                0.54536,                 1.0779,                0.68781,                 0.5796,                0.61858,                 0.4396,                 1.0878,                0.77125,                 1.1782,               0.003928,               0.003928,               0.003928
                    187,                0.86009,                0.54377,                 1.0764,                0.68563,                0.57987,                0.61781,                 0.4392,                 1.0881,                0.77156,                 1.1786,               0.003895,               0.003895,               0.003895
                    188,                0.86566,                0.54429,                 1.0775,                0.68467,                0.58022,                0.61743,                 0.4392,                 1.0885,                0.77168,                 1.1789,               0.003862,               0.003862,               0.003862
                    189,                0.86287,                0.54499,                 1.0764,                0.68377,                0.57975,                0.61673,                0.43877,                 1.0886,                0.77186,                  1.179,               0.003829,               0.003829,               0.003829
                    190,                0.84812,                0.53712,                 1.0756,                0.68693,                0.57859,                0.61628,                0.43847,                 1.0889,                0.77179,                 1.1793,               0.003796,               0.003796,               0.003796
                    191,                0.85994,                 0.5376,                 1.0752,                0.68899,                0.57676,                0.61591,                0.43861,                 1.0897,                 0.7718,                 1.1799,               0.003763,               0.003763,               0.003763
                    192,                0.86099,                0.54038,                  1.077,                0.68569,                0.57829,                0.61563,                0.43814,                 1.0902,                0.77218,                 1.1804,                0.00373,                0.00373,                0.00373
                    193,                0.85965,                0.53804,                 1.0749,                0.68954,                 0.5758,                0.61577,                0.43851,                 1.0909,                0.77216,                 1.1811,               0.003697,               0.003697,               0.003697
                    194,                 0.8532,                0.53354,                  1.069,                0.68892,                0.57607,                0.61555,                 0.4385,                 1.0915,                0.77226,                 1.1819,               0.003664,               0.003664,               0.003664
                    195,                0.84587,                0.53622,                 1.0715,                0.68942,                0.57497,                0.61452,                0.43794,                 1.0919,                0.77222,                 1.1821,               0.003631,               0.003631,               0.003631
                    196,                0.85393,                0.53451,                 1.0713,                0.68939,                0.57472,                0.61468,                0.43841,                 1.0919,                0.77202,                 1.1822,               0.003598,               0.003598,               0.003598
                    197,                0.85063,                0.53346,                 1.0688,                0.68643,                0.57584,                0.61443,                 0.4384,                 1.0918,                0.77213,                 1.1821,               0.003565,               0.003565,               0.003565
                    198,                0.84718,                0.52595,                 1.0649,                0.68564,                0.57472,                0.61434,                0.43845,                  1.092,                0.77203,                 1.1824,               0.003532,               0.003532,               0.003532
                    199,                0.84644,                0.53032,                 1.0671,                 0.6876,                0.57382,                0.61441,                0.43849,                 1.0931,                 0.7721,                 1.1835,               0.003499,               0.003499,               0.003499
                    200,                0.85442,                 0.5314,                 1.0711,                0.68401,                 0.5755,                0.61441,                 0.4382,                  1.093,                0.77227,                 1.1832,               0.003466,               0.003466,               0.003466
                    201,                0.83998,                0.52526,                 1.0669,                0.68369,                0.57569,                0.61474,                0.43802,                  1.093,                0.77261,                  1.183,               0.003433,               0.003433,               0.003433
                    202,                0.84265,                0.52536,                 1.0662,                0.66889,                0.58692,                0.61487,                0.43815,                 1.0927,                0.77292,                  1.183,                 0.0034,                 0.0034,                 0.0034
                    203,                0.84604,                0.52303,                 1.0671,                0.67384,                0.58488,                0.61444,                0.43786,                 1.0932,                 0.7732,                 1.1834,               0.003367,               0.003367,               0.003367
                    204,                0.83663,                0.52336,                 1.0648,                0.67751,                0.58163,                0.61516,                 0.4375,                 1.0936,                0.77377,                 1.1839,               0.003334,               0.003334,               0.003334
                    205,                0.83122,                0.52024,                 1.0589,                0.67568,                0.58221,                0.61476,                0.43752,                 1.0942,                0.77422,                 1.1846,               0.003301,               0.003301,               0.003301
                    206,                0.83491,                0.51785,                 1.0622,                 0.6751,                0.58236,                0.61431,                0.43728,                 1.0944,                0.77439,                 1.1847,               0.003268,               0.003268,               0.003268
                    207,                0.83715,                0.52107,                 1.0652,                0.67759,                0.58035,                0.61371,                0.43665,                 1.0952,                0.77497,                 1.1855,               0.003235,               0.003235,               0.003235
                    208,                 0.8362,                0.51792,                 1.0671,                0.67819,                0.58065,                0.61393,                0.43688,                 1.0953,                0.77569,                  1.186,               0.003202,               0.003202,               0.003202
                    209,                0.84053,                0.53337,                 1.0619,                0.67707,                0.58174,                0.61403,                0.43698,                 1.0956,                 0.7763,                 1.1862,               0.003169,               0.003169,               0.003169
                    210,                 0.8315,                0.50972,                 1.0564,                0.67786,                0.58073,                0.61359,                0.43662,                  1.096,                0.77734,                 1.1866,               0.003136,               0.003136,               0.003136
                    211,                0.81949,                0.50717,                 1.0541,                0.67715,                0.58085,                 0.6135,                0.43645,                 1.0965,                0.77799,                 1.1868,               0.003103,               0.003103,               0.003103
                    212,                0.83135,                0.51326,                 1.0584,                0.67995,                0.57988,                0.61354,                0.43637,                 1.0963,                0.77809,                 1.1867,                0.00307,                0.00307,                0.00307
                    213,                0.82622,                0.51331,                   1.06,                0.67942,                0.58058,                0.61342,                0.43654,                 1.0969,                0.77883,                 1.1871,               0.003037,               0.003037,               0.003037
                    214,                0.82721,                0.51193,                 1.0598,                0.67948,                0.57977,                0.61323,                0.43627,                  1.098,                0.77945,                 1.1882,               0.003004,               0.003004,               0.003004
